Level,Object Index,Type,X Macro,X Micro,Y Macro,Y Micro,Flags,Params,Tiles Normal,Tiles Reversed
THZ1,0,28,50,03,D0,02,00,0A,6A,09
THZ1,1,28,50,0F,00,03,00,0A,6A,0D
THZ1,2,28,10,05,80,02,00,84,6A,00
THZ1,3,28,70,05,40,02,00,84,6A,00
THZ1,4,28,D0,05,00,02,00,84,6A,00
THZ1,5,28,30,06,D0,01,00,84,6A,00
THZ1,6,26,B0,03,60,04,00,00,72,72
THZ1,7,26,F0,0E,00,04,00,00,72,72
THZ1,8,10,90,03,4E,04,00,06,00,00
THZ1,9,10,B0,07,EE,02,00,06,00,00
THZ1,10,10,50,02,0E,02,00,04,00,00
THZ1,11,10,C0,06,6E,01,00,04,00,00
THZ1,12,10,80,0B,AE,03,00,02,00,00
THZ1,13,09,34,0D,24,03,00,00,00,00
THZ1,14,09,58,0D,0A,03,00,00,00,00
THZ1,15,09,88,0D,00,03,00,00,00,00
THZ1,16,09,40,0C,80,02,00,00,00,00
THZ1,17,09,10,0C,C0,02,00,00,00,00
THZ1,18,09,18,0C,98,02,00,00,00,00
THZ1,19,09,70,0C,C0,02,00,00,00,00
THZ1,20,09,68,0C,98,02,00,00,00,00
THZ1,21,26,10,06,60,03,00,8A,72,72
THZ1,22,26,78,08,60,04,00,01,72,72
THZ1,23,27,B0,0E,E0,01,10,00,AA,AA
THZ1,24,27,F0,09,00,04,10,00,AA,AA
THZ1,25,27,C0,09,70,01,10,00,AA,AA
THZ1,26,21,20,04,5E,03,00,08,86,98
THZ1,27,21,E0,05,5E,04,00,06,86,98
THZ1,28,21,00,09,3E,02,00,06,86,98
THZ1,29,21,50,0D,7E,04,00,03,86,98
THZ1,30,21,E0,0D,1E,02,00,04,86,98
THZ1,31,21,60,0A,FE,01,00,02,86,98
THZ1,32,1B,40,06,60,04,00,00,00,00
THZ1,33,1B,90,08,60,04,00,00,00,00
THZ1,34,1B,A0,0A,60,04,00,00,00,00
THZ1,35,1B,60,0C,60,04,00,00,00,00
THZ1,36,09,27,0E,3E,04,00,00,00,00
THZ1,37,09,42,0E,1E,04,00,00,00,00
THZ1,38,09,5E,0E,06,04,00,00,00,00
THZ1,39,09,30,04,4C,04,00,01,00,00
THZ1,40,09,60,04,4C,04,00,01,00,00
THZ1,41,09,B0,04,4C,04,00,01,00,00
THZ1,42,09,10,05,4C,04,00,01,00,00
THZ1,43,09,C0,07,4C,03,00,01,00,00
THZ1,44,09,E0,07,4C,03,00,01,00,00
THZ1,45,09,40,08,4C,03,00,01,00,00
THZ1,46,09,B0,08,4C,03,00,01,00,00
